X,Y,OBJECTID,Latitude,Longitude,ID,City,ZIP,L1_evse,L2_evse,DCFC,Charger_Type
29751.1812999994,-185637.7228,9729,36.34582,-119.668106,213433,Hanford,93230,0,1,0,Level 2 only
164600.4791,-438992.6202,9730,34.050729,-118.217078,213452,Los Angeles,90033,0,2,0,Level 2 only
164580.593499999,-438986.0044,9731,34.050792,-118.217292,213453,Los Angeles,90033,0,2,0,Level 2 only
-196486.183800001,-56716.5555000007,9732,37.48543,-122.225395,213462,Redwood City,94063,0,2,0,Level 2 only
-196497.7468,-56704.9420999996,9733,37.485532,-122.225529,213463,Redwood City,94063,0,1,0,Level 2 only
247673.6127,-529865.3159,9734,33.21381,-117.34519,213468,Oceanside,92054,0,1,0,Level 2 only
247638.397,-529831.0486,9735,33.214128,-117.345557,213469,Oceanside,92054,0,1,0,Level 2 only
247638.023899999,-529831.0591,9736,33.214128,-117.345561,213470,Oceanside,92054,0,1,0,Level 2 only
247637.187600002,-529831.1934,9737,33.214127,-117.34557,213472,Oceanside,92054,0,1,0,Level 2 only
247712.421599999,-529677.9835,9738,33.21549,-117.344718,213473,Oceanside,92054,0,1,0,Level 2 only
247733.2969,-529626.8463,9739,33.215946,-117.344479,213474,Oceanside,92058,0,2,0,Level 2 only
247527.173900001,-529902.4526,9740,33.213512,-117.34677,213475,Oceanside,92054,0,2,0,Level 2 only
-105476.671,86557.1995000001,9741,38.788951,-121.215594,213500,Rocklin,95677,0,2,0,Level 2 only
-105475.6653,86561.1884000003,9742,38.788987,-121.215583,213501,Rocklin,95677,0,2,0,Level 2 only
160816.613000002,-439972.177,9743,34.042534,-118.25825,213533,Los Angeles,90015,0,2,0,Level 2 only
160809.368099999,-439979.9654,9744,34.042465,-118.25833,213534,Los Angeles,90015,0,2,0,Level 2 only
160829.778200001,-439985.0268,9745,34.042416,-118.25811,213535,Los Angeles,90015,0,2,0,Level 2 only
-275795.7432,130824.803300001,9746,39.151509,-123.194623,213585,Ukiah,95482,0,0,1,DCFC only
204582.9712,-474432.4351,9747,33.723672,-117.793068,213676,Tustin,92782,0,1,0,Level 2 only
266792.457600001,-584447.6405,9748,32.716302,-117.157907,213682,San Diego,92101,0,2,0,Level 2 only
266772.961199999,-584427.0641,9749,32.716493,-117.158108,213685,San Diego,92101,0,2,0,Level 2 only
266763.3827,-584449.0662,9750,32.716297,-117.158217,213686,San Diego,92101,0,2,0,Level 2 only
266823.1362,-584440.1839,9751,32.716361,-117.157578,213687,San Diego,92101,0,2,0,Level 2 only
266785.743700001,-584461.8014,9752,32.716176,-117.157983,213689,San Diego,92101,0,2,0,Level 2 only
266803.328899998,-584462.4928,9753,32.716165,-117.157796,213691,San Diego,92101,0,2,0,Level 2 only
266805.549199998,-584445.6968,9754,32.716316,-117.157767,213693,San Diego,92101,0,2,0,Level 2 only
266785.784699999,-584447.5082,9755,32.716305,-117.157978,213694,San Diego,92101,0,2,0,Level 2 only
266784.664900001,-584460.2827,9756,32.71619,-117.157994,213696,San Diego,92101,0,2,0,Level 2 only
266784.2467,-584446.3356,9757,32.716316,-117.157994,213697,San Diego,92101,0,2,0,Level 2 only
266812.241900001,-584446.4933,9758,32.716307,-117.157696,213698,San Diego,92101,0,2,0,Level 2 only
266808.869899999,-584459.3353,9759,32.716192,-117.157736,213700,San Diego,92101,0,2,0,Level 2 only
266807.6303,-584446.1884,9760,32.716311,-117.157745,213706,San Diego,92101,0,2,0,Level 2 only
266800.754099999,-584442.4061,9761,32.716347,-117.157817,213707,San Diego,92101,0,2,0,Level 2 only
266779.741,-584462.0922,9762,32.716175,-117.158047,213708,San Diego,92101,0,1,0,Level 2 only
266783.416700002,-584431.1822,9763,32.716453,-117.157998,213709,San Diego,92101,0,2,0,Level 2 only
266787.335700002,-584461.6429,9764,32.716177,-117.157966,213710,San Diego,92101,0,1,0,Level 2 only
266796.127099998,-584460.3821,9765,32.716186,-117.157872,213711,San Diego,92101,0,2,0,Level 2 only
266790.534200002,-584446.1471,9766,32.716316,-117.157927,213712,San Diego,92101,0,2,0,Level 2 only
266802.930300001,-584461.7292,9767,32.716172,-117.1578,213713,San Diego,92101,0,2,0,Level 2 only
266806.292100001,-584461.0744,9768,32.716177,-117.157764,213714,San Diego,92101,0,2,0,Level 2 only
266808.522300001,-584444.6106,9769,32.716325,-117.157735,213715,San Diego,92101,0,2,0,Level 2 only
266790.389699999,-584447.5917,9770,32.716303,-117.157929,213716,San Diego,92101,0,1,0,Level 2 only
266802.669,-584449.8825,9771,32.716279,-117.157799,213718,San Diego,92101,0,2,0,Level 2 only
266807.586300001,-584447.8516,9772,32.716296,-117.157746,213719,San Diego,92101,0,2,0,Level 2 only
